Record_ID,Research_Date,Game_Title,Publisher,Genre,Platform,Region,Target_Audience,Monetization_Model,Price_USD,Avg_User_Rating,Review_Count,Monthly_Active_Users,Units_Sold_Millions,Revenue_M_USD,Social_Buzz_Score,Trend_Tag,Competitor_Strength,Competitor_Weakness,Market_Positioning,Gap_Opportunity,Data_Source,Notes
MR-019,,Mystic Builder,MegaMode,Sports,PS5,Unknown,Hardcore,Freemium,19.99,5.0,56206.0,3424191.0,5.04,175.45,25.0,Cross-Platform,Popular streamer support,Low social buzz,Unknown,Need better beginner onboarding,Competitor Review,Possible gap for new title
MR-020,2025-06-07,Dragon Legends,IndieSpark,Sports,PS5,Middle East,Kids,Subscription,0.0,9.2,12500.0,4970156.0,0.37,61.32,7.0,Co-op,Cross-platform play,High cost,Budget,Need stronger accessibility options,Store Rankings,
MR-021_DUP,2025-03-09,Neon League,Unknown,Puzzle,Switch,Asia-Pacific,Hardcore,premium,19.99,2.5,248357.0,6144685.0,0.88,344.7,61.0,Mobile-first,Low price,Slow updates,Unknown,Market wants creative building tools,Competitor Review,Promising but needs validation
MR-022,2025-09-21,Galaxy Arena,DragonSoft,Unknown,Xbox,Europe,Kids,Subscription,19.99,4.0,79178.0,5041617.0,9.56,18.77,85.0,AI NPCs,Fast matchmaking,Low social buzz,Premium,Market wants creative building tools,Focus Group,Possible gap for new title
MR-023,,Arena Saga,ArcForge,Shooter,Switch,Global,Teens,Subscription,0.0,5.7,155433.0,7149687.0,11.22,203.03,73.0,Mobile-first,Easy to learn,Poor mobile controls,Budget,Market wants creative building tools,Store Rankings,Promising but needs validation
MR-024,2025-08-18,Island Clash,DragonSoft,RPG,Switch,Global,Adults,premium,0.0,6.4,124924.0,4122307.0,0.26,182.16,85.0,AI NPCs,Popular streamer support,Poor mobile controls,Mass Market,Gap in affordable premium games,Survey,
MR-025,2025-05-08,Rocket Tactics,MegaMode,Action,Switch,Asia-Pacific,Teens,Premium,4.99,7.8,181042.0,1820165.0,3.35,342.17,13.0,Open World,High replay value,Poor mobile controls,Premium,Need offline mode,Survey,Promising but needs validation
MR-026,2025-10-10,Farm League,PixelPeak,RPG,Switch,Unknown,Hardcore,Unknown,0.0,5.8,13588.0,7233656.0,9.87,33.61,7.0,Live Service,Low price,Steep learning curve,Unknown,More demand for short mobile sessions,Unknown,Strong opportunity if polished
MR-027,2025-07-15,Turbo League,FutureFun,Simulation,PC,Latin America,Teens,premium,19.99,6.9,194129.0,6403302.0,2.57,70.93,10.0,Mobile-first,Cross-platform play,Buggy launch,Niche,More demand for short mobile sessions,Unknown,
MR-028,2025-08-23,Farm Dash,DragonSoft,Simulation,Switch,Asia-Pacific,Unknown,Freemium,59.99,3.0,39176.0,6939284.0,0.76,267.89,37.0,Co-op,Easy to learn,High cost,AAA,Need stronger accessibility options,Forum Scan,Possible gap for new title
MR-029,2025-08-09,Shadow Run,Unknown,Puzzle,Xbox,Europe,Unknown,Subscription,19.99,9.5,150904.0,179025.0,8.08,18.39,61.0,Retro,Strong story,Slow updates,Mid-Market,Demand for cross-platform saves,Social Listening,Mixed feedback from players
MR-030,2025-09-15,Hero League,PixelPeak,Strategy,PC,Unknown,Unknown,premium,19.99,9.4,129982.0,2643361.0,1.44,389.25,1.0,AI NPCs,Strong graphics,Weak tutorial,Mass Market,Market wants creative building tools,Store Rankings,Possible gap for new title
MR-031,2025-02-21,Cosmic Sim,FutureFun,RPG,Mobile,Asia-Pacific,Teens,Freemium,4.99,2.3,209655.0,1333572.0,0.21,101.35,15.0,AI NPCs,Cross-platform play,Weak tutorial,Unknown,Market wants creative building tools,Store Rankings,Mixed feedback from players
MR-032,2025-10-22,Rocket Life,ArcForge,Shooter,Switch,Europe,Adults,Subscription,19.99,7.8,18420.0,6632052.0,4.11,178.83499999999998,39.0,Live Service,High replay value,Low social buzz,Unknown,Need stronger accessibility options,Unknown,Potential competitor to study
MR-033,2025-01-05,Island Arena,Unknown,Adventure,PS5,Europe,Competitive,Free to Play,59.99,3.9,11561.0,3972612.0,9.75,298.76,20.0,AI NPCs,Strong graphics,Limited content,AAA,Demand for cross-platform saves,Survey,Mixed feedback from players
MR-034,2025-04-21,Dungeon Tactics,MegaMode,Racing,PS5,Unknown,Competitive,Unknown,19.99,7.4,223405.0,5661920.0,4.59,323.51,50.5,Co-op,Cross-platform play,Limited content,Mass Market,Need better beginner onboarding,Survey,Possible gap for new title
MR-035,2025-10-05,Pixel League,MegaMode,Shooter,Mobile,North America,Unknown,Subscription,39.99,5.0,139362.0,5724356.0,2.08,391.92,31.0,Live Service,Fast matchmaking,Buggy launch,Unknown,Need stronger accessibility options,Forum Scan,Possible gap for new title
MR-036,2025-01-19,Turbo Strike,NovaPlay,Battle Royale,Xbox,Middle East,Hardcore,Free to Play,0.0,8.6,100965.0,899672.0,6.88,446.71,85.0,User Generated Content,Frequent updates,Weak tutorial,Mass Market,Demand for cross-platform saves,Focus Group,Promising but needs validation
MR-037,2025-05-27,Pixel League,FutureFun,Sports,Mobile,Global,Competitive,Freemium,0.0,2.4,34568.0,2480565.0,5.02,353.99,47.0,Co-op,Fast matchmaking,Weak tutorial,AAA,Market wants creative building tools,Social Listening,Promising but needs validation
MR-038,2025-09-11,Dragon Quest,PixelPeak,Action,PS5,Europe,Teens,premium,29.99,6.2,176497.0,2204169.0,9.88,49.02,4.0,Retro,Large player community,Limited content,Budget,Need better beginner onboarding,Social Listening,Mixed feedback from players
MR-039,2025-08-20,Battle Wars,MegaMode,Action,PC,Latin America,Unknown,Freemium,19.99,8.9,119039.0,7968983.0,11.35,334.1,54.0,Cross-Platform,Strong story,Buggy launch,Indie,Market wants creative building tools,Focus Group,Possible gap for new title
MR-040,2025-10-07,Pixel Realm,Orbit Games,Racing,Unknown,Latin America,Hardcore,Subscription,29.99,3.6,222426.0,774012.0,7.72,9.9,32.0,Esports,Easy to learn,High cost,Mass Market,Demand for cross-platform saves,Store Rankings,Strong opportunity if polished
MR-041,2025-08-15,Dungeon Legends,Orbit Games,Battle Royale,PS5,Europe,Hardcore,Free to Play,4.99,5.7,94031.0,2000914.0,0.24,57.3,15.0,Open World,High replay value,Poor mobile controls,Unknown,Need better beginner onboarding,Survey,Mixed feedback from players
MR-042,2025-10-17,Dragon Clash,Orbit Games,Battle Royale,PS5,Europe,Competitive,Unknown,19.99,2.9,116397.0,682719.0,1.82,281.06,92.0,Live Service,Frequent updates,Low social buzz,Unknown,Gap in affordable premium games,Competitor Review,Possible gap for new title
MR-043,2025-12-12,Cosmic Realm,Orbit Games,Action,Unknown,Asia-Pacific,Adults,premium,59.99,7.7,82046.0,3144864.0,8.26,41.32,56.0,Co-op,Low price,Slow updates,AAA,Need better beginner onboarding,Social Listening,Strong opportunity if polished
MR-044,2025-10-20,Street Racer,Orbit Games,Action,Unknown,Middle East,Casual,Free-to-Play,4.99,6.5,172279.0,7112456.0,10.15,343.24,55.0,Mobile-first,Popular streamer support,Slow updates,Indie,Need better beginner onboarding,Store Rankings,Potential competitor to study
MR-045,2025-10-03,Farm Realm,ArcForge,Sports,Unknown,North America,Competitive,Subscription,4.99,3.2,8156.0,4455011.0,5.07,166.71,100.0,AI NPCs,Low price,Steep learning curve,Unknown,Opportunity for esports tournaments,Social Listening,Potential competitor to study
MR-046,2025-05-10,Castle Wars,NovaPlay,Shooter,PS5,Asia-Pacific,Family,Freemium,39.99,5.4,177981.0,4425243.0,0.59,80.5,28.0,Live Service,Frequent updates,Weak story,Indie,Opportunity for family-friendly co-op,Competitor Review,
MR-047,2025-12-12,Pixel Clash,BlueByte Studios,Racing,PS5,Unknown,Kids,Free to Play,0.0,10.8,151051.0,3397545.0,5.04,9.68,80.0,Co-op,Low price,Poor mobile controls,Indie,Gap in affordable premium games,Social Listening,Potential competitor to study
MR-048,2025-03-25,Galaxy Champions,BlueByte Studios,Sports,Xbox,Europe,Unknown,premium,19.99,3.0,237602.0,2950238.0,9.84,106.55,26.0,,Easy to learn,Slow updates,Indie,Demand for cross-platform saves,Competitor Review,Promising but needs validation
MR-049,2025-09-13,Hero Odyssey,Orbit Games,Sports,PC,Europe,Hardcore,Subscription,19.99,4.4,14845.0,627356.0,5.04,34.81,12.0,,Cross-platform play,Weak story,Premium,Need better beginner onboarding,Competitor Review,Promising but needs validation
MR-050,2025-11-21,Legend Run,IndieSpark,RPG,Switch,Unknown,Teens,Subscription,19.99,-1.0,115311.0,5120418.0,4.51,184.12,77.0,,Fast matchmaking,Slow updates,Mid-Market,,Focus Group,Potential competitor to study
MR-051,2025-09-03,Neon League,DragonSoft,Strategy,PC,North America,Adults,Subscription,19.99,7.5,156106.0,715674.0,4.55,365.99,95.0,Esports,Frequent updates,Slow updates,Unknown,Gap in affordable premium games,Store Rankings,Potential competitor to study
MR-052,2025-03-27,Mystic Run,Unknown,Sports,Xbox,Europe,Casual,Freemium,29.99,8.6,202200.0,6201194.0,0.5,344.91,49.0,User Generated Content,Frequent updates,Steep learning curve,Mass Market,Need offline mode,Store Rankings,Strong opportunity if polished
MR-053,2025-03-28,Island League,FutureFun,Unknown,PC,Asia-Pacific,Competitive,premium,0.0,9.1,177934.0,3700998.0,3.42,237.5,26.0,Live Service,Large player community,Poor mobile controls,Mid-Market,Demand for cross-platform saves,Social Listening,Mixed feedback from players
MR-054,2025-01-11,Castle Builder,IndieSpark,Sports,Xbox,Asia-Pacific,Casual,Subscription,59.99,2.8,214213.0,2937532.0,5.01,168.47,11.0,AI NPCs,Fast matchmaking,Steep learning curve,Unknown,,Survey,Promising but needs validation
MR-055,2025-02-27,Shadow Strike,Unknown,Strategy,PC,Asia-Pacific,Hardcore,premium,19.99,8.5,190760.0,3555518.0,3.49,21.77,80.0,Esports,Popular streamer support,Low social buzz,Budget,,Social Listening,Potential competitor to study
MR-056,2025-06-09,Farm Clash,IndieSpark,Sports,PS5,Global,Hardcore,premium,9.99,7.2,94650.0,4417906.0,9.45,9.44,6.0,Co-op,Easy to learn,Slow updates,Premium,Need better beginner onboarding,Social Listening,Strong opportunity if polished
MR-057,2025-09-13,Legend Legends,Orbit Games,Shooter,Mobile,North America,Hardcore,Subscription,19.99,5.7,165725.0,4178528.0,0.49,356.06,41.0,User Generated Content,Strong graphics,Slow updates,Mass Market,Opportunity for family-friendly co-op,Unknown,Possible gap for new title
MR-058,2025-03-18,Turbo Realm,BlueByte Studios,RPG,PC,Middle East,Teens,Freemium,0.0,9.0,49093.0,4178528.0,9.58,37.45,56.0,,Low price,Limited content,Unknown,Need stronger accessibility options,Competitor Review,Promising but needs validation
MR-059,2025-01-05,Neon Life,IndieSpark,Adventure,PS5,Unknown,Casual,Free to Play,59.99,4.2,129982.0,5352842.0,6.18,178.83499999999998,87.0,Esports,Cross-platform play,Slow updates,Indie,Need offline mode,Unknown,Promising but needs validation
MR-060,2025-04-20,Farm Builder,FutureFun,Racing,PS5,Asia-Pacific,Competitive,Freemium,19.99,4.9,73176.0,4178528.0,6.01,252.88,34.0,Esports,Cross-platform play,Buggy launch,Indie,Need stronger accessibility options,Focus Group,Promising but needs validation
MR-061,2025-08-01,Ocean Saga,Unknown,Adventure,Xbox,Asia-Pacific,Family,Free to Play,29.99,9.0,186716.0,5878864.0,9.53,54.88,18.0,Co-op,Large player community,Poor mobile controls,AAA,Need offline mode,Forum Scan,Mixed feedback from players
MR-062,2025-07-17,Turbo Arena,NovaPlay,Unknown,PS5,Asia-Pacific,Family,Subscription,4.99,3.1,19561.0,5710167.0,1.58,248.22,99.0,Esports,Fast matchmaking,Slow updates,Niche,Need stronger accessibility options,Forum Scan,Possible gap for new title
MR-063,2025-10-11,Galaxy Strike,Unknown,Action,PC,Europe,Casual,premium,19.99,7.0,32932.0,5159197.0,6.06,423.74,85.0,,Popular streamer support,Weak tutorial,AAA,,Focus Group,Promising but needs validation
MR-064,2025-10-05,Hero Saga,IndieSpark,RPG,PC,Unknown,Family,Unknown,29.99,7.0,64313.0,5751119.0,5.47,71.39,60.0,User Generated Content,High replay value,Weak story,Mid-Market,Need stronger accessibility options,Store Rankings,Mixed feedback from players
MR-065,2025-04-25,Battle Strike,Orbit Games,Shooter,Xbox,Middle East,Unknown,Premium,0.0,4.0,76197.0,7254131.0,3.02,72.12,74.0,Co-op,Low price,Weak story,Unknown,Gap in affordable premium games,Store Rankings,Strong opportunity if polished
MR-066,2025-06-02,Neon Rivals,Unknown,Strategy,Switch,Global,Teens,Premium,0.0,4.3,221067.0,3952568.0,0.15,60.53,47.0,Retro,High replay value,Steep learning curve,Mass Market,,Focus Group,Strong opportunity if polished
MR-067,2025-08-17,Battle Builder,Unknown,Strategy,Xbox,Global,Adults,Free-to-Play,4.99,5.1,89009.0,3071928.0,2.43,178.83499999999998,92.0,Retro,Easy to learn,Poor mobile controls,Indie,Market wants creative building tools,Unknown,Strong opportunity if polished
MR-068_DUP,2025-12-05,Mystic Clash,PixelPeak,Unknown,Xbox,Asia-Pacific,Kids,Premium,9.99,2.4,244723.0,4178528.0,2.56,46.53,53.0,Esports,Strong story,Low social buzz,Niche,More demand for short mobile sessions,Store Rankings,
MR-069,2025-04-18,Battle Dash,FutureFun,Strategy,PS5,Global,Family,Freemium,0.0,5.5,108375.0,3447495.0,7.36,381.82,91.0,Live Service,Strong story,Weak story,Indie,More demand for short mobile sessions,Forum Scan,Mixed feedback from players
MR-070,2025-02-19,Rocket World,DragonSoft,Puzzle,PC,Asia-Pacific,Teens,Premium,29.99,6.4,78137.0,5918137.0,8.47,157.16,93.0,Mobile-first,Large player community,Slow updates,Unknown,More demand for short mobile sessions,Focus Group,Mixed feedback from players
MR-071,2025-12-16,Rocket Dash,ArcForge,Action,Switch,Asia-Pacific,Kids,premium,19.99,4.2,71323.0,5169673.0,2.5,101.78,13.0,AI NPCs,Cross-platform play,Weak tutorial,Mass Market,Need stronger accessibility options,Social Listening,
MR-072,2025-03-24,Pixel Run,MegaMode,Action,PC,Middle East,Competitive,Subscription,19.99,6.5,189680.0,317880.0,2.14,79.35,51.0,Mobile-first,Cross-platform play,Weak story,Unknown,Demand for cross-platform saves,Unknown,Strong opportunity if polished
MR-073,2025-11-13,Cosmic Strike,Orbit Games,Adventure,PS5,Unknown,Competitive,Free-to-Play,19.99,8.3,191778.0,2163094.0,0.22,132.97,25.0,Esports,Cross-platform play,Slow updates,Niche,Need better beginner onboarding,Social Listening,Mixed feedback from players
MR-074,2025-12-25,Island Odyssey,BlueByte Studios,Action,Mobile,Global,Hardcore,Free-to-Play,29.99,9.4,189619.0,2199066.0,5.04,209.59,88.0,Esports,Cross-platform play,Limited content,Unknown,,Social Listening,Mixed feedback from players
MR-075,2025-09-17,Ocean Sim,Orbit Games,Sports,Xbox,Global,Unknown,Premium,19.99,8.3,199836.0,6336214.0,9.46,237.82,73.0,Cross-Platform,Easy to learn,Steep learning curve,Mid-Market,Market wants creative building tools,Competitor Review,Promising but needs validation
MR-076,2025-12-03,Cosmic Builder,NovaPlay,RPG,Xbox,North America,Teens,Freemium,19.99,5.3,146605.0,6773896.0,0.31,1.66,75.0,Esports,Fast matchmaking,Low social buzz,Indie,Opportunity for esports tournaments,Competitor Review,Mixed feedback from players
MR-077,2025-05-15,Dragon Run,Orbit Games,Puzzle,Switch,Unknown,Hardcore,Free-to-Play,19.99,9.5,34982.0,2922305.0,11.91,57.57,1.0,AI NPCs,Strong story,Limited content,Mass Market,Gap in affordable premium games,Focus Group,Promising but needs validation
MR-078,2025-04-18,Pixel Clash,NovaPlay,Sports,Switch,Middle East,Hardcore,Unknown,19.99,8.0,4221.0,569477.0,0.45,178.83499999999998,6.0,,Strong story,,Indie,Gap in affordable premium games,Social Listening,Potential competitor to study
MR-079,2025-07-05,Castle World,ArcForge,Sports,Switch,Europe,Hardcore,Unknown,59.99,5.7,164220.0,4667813.0,11.67,302.2,41.0,Cross-Platform,Popular streamer support,Limited content,Unknown,Need better beginner onboarding,Forum Scan,Mixed feedback from players
MR-080,,Turbo Saga,PixelPeak,Sports,Unknown,Asia-Pacific,Hardcore,Freemium,19.99,3.1,53423.0,668290.0,10.17,326.15,35.0,Cross-Platform,Strong story,Poor mobile controls,Budget,Gap in affordable premium games,Store Rankings,
MR-081,2025-08-15,Battle Sim,FutureFun,Sports,PC,Latin America,Adults,Subscription,19.99,7.5,104094.0,4636176.0,3.43,292.03,47.0,Retro,Strong graphics,,Niche,Demand for cross-platform saves,Survey,Possible gap for new title
MR-082,2025-12-21,Ocean Arena,FutureFun,Sports,PC,Asia-Pacific,Family,premium,19.99,7.6,51550.0,3191326.0,2.99,424.58,98.0,Live Service,Cross-platform play,Limited content,Budget,Market wants creative building tools,Survey,Promising but needs validation
MR-083,2025-01-01,Pixel Quest,DragonSoft,Action,PC,Asia-Pacific,Teens,Free to Play,59.99,3.2,17937.0,81684.0,2.5,300.14,62.0,Mobile-first,Strong graphics,Weak story,AAA,Demand for cross-platform saves,Survey,Promising but needs validation
MR-084,2025-02-21,Castle Builder,NovaPlay,RPG,PS5,Unknown,Kids,Free to Play,19.99,3.6,213823.0,6673409.0,4.51,254.38,29.0,AI NPCs,Strong graphics,High cost,Premium,Opportunity for family-friendly co-op,Competitor Review,Mixed feedback from players
MR-085,,Legend Arena,NovaPlay,Racing,Unknown,Asia-Pacific,Kids,Premium,4.99,9.0,60351.0,7287292.0,6.82,415.89,36.0,Mobile-first,Fast matchmaking,,Niche,,Unknown,Mixed feedback from players
MR-086,2025-10-13,Ocean Tactics,IndieSpark,Action,Mobile,Europe,Unknown,Free-to-Play,59.99,7.9,180818.0,4205954.0,4.18,178.83499999999998,99.0,User Generated Content,High replay value,Low social buzz,AAA,Demand for cross-platform saves,Focus Group,Strong opportunity if polished
MR-087,2025-08-12,Dragon Run,BlueByte Studios,Sports,PS5,Asia-Pacific,Kids,Freemium,19.99,4.4,19389.0,1298699.0,9.42,175.51,75.0,Live Service,High replay value,Weak story,AAA,Opportunity for family-friendly co-op,Survey,Promising but needs validation
MR-088,2025-03-22,Neon Saga,ArcForge,Simulation,Mobile,Middle East,Unknown,Free-to-Play,4.99,6.7,226538.0,2453193.0,9.36,251.92,32.0,Co-op,Fast matchmaking,Low social buzz,Mass Market,Opportunity for esports tournaments,Social Listening,Mixed feedback from players
MR-089,2025-07-27,Galaxy Racer,Unknown,Sports,Mobile,Global,Hardcore,Freemium,29.99,9.4,130091.0,1645377.0,5.04,149.7,43.0,User Generated Content,Fast matchmaking,Low social buzz,Indie,More demand for short mobile sessions,Focus Group,
MR-090,2025-08-23,Hero Arena,MegaMode,Unknown,PS5,Unknown,Unknown,Free-to-Play,19.99,4.6,206130.0,960360.0,2.44,81.21,4.0,Mobile-first,Frequent updates,Poor mobile controls,Premium,Opportunity for esports tournaments,Unknown,Mixed feedback from players
MR-091,2025-02-04,Galaxy Odyssey,IndieSpark,Sports,Unknown,North America,Kids,Unknown,19.99,5.8,132925.0,7300016.0,6.55,161.98,69.0,User Generated Content,Low price,Buggy launch,Budget,Opportunity for family-friendly co-op,Social Listening,Potential competitor to study
MR-092,2025-02-04,Castle Champions,ArcForge,Adventure,Mobile,Global,Unknown,Unknown,19.99,6.6,116978.0,3889455.0,7.08,178.83499999999998,38.0,Cross-Platform,High replay value,Steep learning curve,Indie,Need offline mode,Survey,Mixed feedback from players
MR-093,2025-09-14,Cosmic Tactics,PixelPeak,Sports,PS5,Asia-Pacific,Family,premium,4.99,4.4,12500.0,5440565.0,9.61,333.3,71.0,Retro,Low price,High cost,Niche,Need offline mode,Forum Scan,Mixed feedback from players
MR-094,2025-08-17,Dragon Quest,IndieSpark,Battle Royale,PS5,Unknown,Kids,Free to Play,19.99,3.7,212123.0,4848145.0,10.47,146.9,34.0,Co-op,Strong story,Slow updates,Unknown,,Store Rankings,
MR-095,2025-08-21,Street Life,ArcForge,Strategy,Xbox,Europe,Teens,Free-to-Play,19.99,2.8,31016.0,986038.0,8.34,188.38,50.0,Esports,Strong story,Steep learning curve,Budget,Need stronger accessibility options,Survey,Mixed feedback from players
MR-096,2025-09-10,Mystic Dash,FutureFun,Battle Royale,Xbox,Asia-Pacific,Competitive,Free to Play,59.99,9.5,129873.0,4129895.0,10.09,178.83499999999998,50.5,Co-op,Popular streamer support,Weak story,Indie,Market wants creative building tools,Unknown,Promising but needs validation
MR-097,2025-02-25,Cosmic Saga,PixelPeak,Sports,Unknown,Global,Kids,Free-to-Play,19.99,9.7,217718.0,2081445.0,11.99,157.06,57.0,,Fast matchmaking,Weak tutorial,Niche,Need better beginner onboarding,Forum Scan,Possible gap for new title
MR-098,2025-01-09,Ocean Strike,ArcForge,RPG,Xbox,Latin America,Family,premium,19.99,6.2,184683.0,4809454.0,10.3,305.78,97.0,User Generated Content,Frequent updates,Low social buzz,Unknown,Demand for cross-platform saves,Forum Scan,
MR-099,2025-12-03,Dungeon Clash,FutureFun,Action,PC,Europe,Kids,Free-to-Play,59.99,5.6,230839.0,3384357.0,3.37,166.27,42.0,Retro,Frequent updates,Steep learning curve,Mass Market,Need stronger accessibility options,Unknown,Possible gap for new title
MR-100,2025-07-07,Legend Saga,ArcForge,Action,Mobile,Asia-Pacific,Teens,Premium,19.99,3.1,206769.0,5730660.0,0.6,178.83499999999998,57.0,User Generated Content,Popular streamer support,Buggy launch,Indie,Demand for cross-platform saves,Survey,Mixed feedback from players
